period,window_group,event_name,n_events,n_users
20180618,pre_window,os_update,55,55
20180618,pre_window,level_end_quickplay,4470,356
20180618,pre_window,select_content,454,72
20180618,in_window,app_exception,2,1
20180618,in_window,level_fail_quickplay,12,5
20180618,in_window,level_up,15,4
20180618,pre_window,level_up,372,69
20180618,pre_window,use_extra_steps,82,28
20180618,pre_window,ad_reward,53,25
20180618,in_window,user_engagement,654,13
20180618,in_window,post_score,155,7
20180618,pre_window,level_fail,281,63
20180618,pre_window,no_more_extra_steps,22,14
20180618,pre_window,spend_virtual_currency,10,3
20180618,in_window,use_extra_steps,2,1
20180618,in_window,level_complete,11,4
20180618,pre_window,app_remove,33,33
20180618,in_window,screen_view,265,29
20180618,pre_window,firebase_campaign,9,8
20180623,pre_window,screen_view,17535,378
20180623,pre_window,level_fail_quickplay,1011,170
20180623,pre_window,select_content,883,336
20180623,pre_window,level_up,211,40
20180623,pre_window,user_engagement,9708,384
20180623,pre_window,post_score,1796,284
20180623,in_window,level_fail_quickplay,83,24
20180623,in_window,level_end_quickplay,171,30
20180623,pre_window,level_reset_quickplay,997,63
20180623,pre_window,session_start,543,362
20180623,in_window,completed_5_levels,6,5
20180623,pre_window,level_end_quickplay,2596,283
20180623,in_window,screen_view,2726,54
20180623,in_window,user_engagement,1740,55
20180623,pre_window,level_complete,184,35
20180623,pre_window,level_fail,88,26
20180623,pre_window,level_complete_quickplay,1585,250
20180623,pre_window,challenge_a_friend,2,2
20180623,in_window,use_extra_steps,26,7
20180623,pre_window,ad_reward,4,4
20180623,pre_window,level_retry_quickplay,244,84
20180623,pre_window,level_start_quickplay,4093,322
20180623,pre_window,level_start,443,52
20180623,in_window,level_complete,112,18
20180623,pre_window,level_end,299,49
20180623,pre_window,spend_virtual_currency,39,16
20180623,in_window,ad_reward,4,1
20180623,in_window,level_start,318,23
20180623,in_window,challenge_a_friend,4,4
20180623,in_window,level_end,206,22
20180623,in_window,level_fail,82,14
20180623,pre_window,app_remove,18,18
20180623,in_window,level_retry,187,21
20180623,in_window,select_content,181,47
20180623,in_window,level_reset,66,11
20180623,in_window,session_start,71,49
20180623,in_window,level_reset_quickplay,247,9
20180623,in_window,level_retry_quickplay,28,17
20180623,in_window,level_complete_quickplay,88,19
20180623,pre_window,os_update,21,21
20180623,pre_window,app_exception,28,16
20180623,pre_window,use_extra_steps,23,12
20180623,in_window,firebase_campaign,40,20
20180623,in_window,first_open,32,32
20180623,pre_window,level_retry,256,43
20180624,in_window,select_content,156,48
20180624,pre_window,app_exception,22,15
20180624,pre_window,level_reset_quickplay,718,48
20180624,pre_window,screen_view,17464,323
20180624,pre_window,level_start,303,43
20180624,pre_window,select_content,679,281
20180624,pre_window,level_complete_quickplay,1654,205
20180624,pre_window,level_retry,194,34
20180624,pre_window,level_start_quickplay,3833,265
20180624,pre_window,level_fail_quickplay,1105,138
20180624,pre_window,level_end_quickplay,2759,233
20180624,pre_window,user_engagement,9528,330
20180624,pre_window,session_start,449,299
20180624,pre_window,level_fail,40,24
20180624,pre_window,level_retry_quickplay,174,58
20180624,in_window,level_up,167,23
20180624,in_window,level_start,314,26
20180624,pre_window,post_score,1828,236
20180624,in_window,post_score,268,34
20180624,in_window,level_complete,139,22
20180624,in_window,screen_view,3388,54
20180624,in_window,level_fail_quickplay,122,19
20180624,in_window,level_retry_quickplay,29,12
20180624,in_window,level_end,242,24
20180624,pre_window,app_remove,10,10
20180624,in_window,completed_5_levels,9,9
20180624,in_window,level_fail,75,11
20180624,in_window,user_engagement,2216,53
20180624,in_window,level_retry,206,23
20180624,in_window,session_start,72,49
20180624,pre_window,os_update,24,24
20180624,in_window,no_more_extra_steps,55,3
20180624,in_window,level_reset_quickplay,45,9
20180624,pre_window,app_update,17,17
20180624,in_window,app_remove,14,14
20180624,in_window,level_start_quickplay,306,33
20180624,in_window,first_open,32,31
20180624,pre_window,completed_5_levels,9,8
20180624,pre_window,level_reset,41,15
20180628,pre_window,ad_reward,56,21
20180628,in_window,app_remove,5,5
20180628,in_window,level_start,102,10
20180628,pre_window,app_exception,18,17
20180628,pre_window,in_app_purchase,2,2
20180628,in_window,app_update,1,1
20180627,in_window,level_fail_quickplay,42,13
20180627,in_window,level_complete_quickplay,27,12
20180627,pre_window,level_up,161,34
20180627,in_window,error,4,1
20180627,in_window,level_retry_quickplay,8,6
20180627,pre_window,error,14,7
20180619,in_window,level_end,165,13
20180619,in_window,level_start,213,14
20180619,in_window,app_remove,3,3
20180619,in_window,level_start_quickplay,270,21
20180619,in_window,level_reset,30,5
20180619,pre_window,no_more_extra_steps,17,8
20180619,in_window,first_open,10,10
20180622,pre_window,level_start,360,48
20180622,in_window,use_extra_steps,32,10
20180622,in_window,completed_5_levels,11,11
20180622,pre_window,app_clear_data,1,1
20180622,in_window,no_more_extra_steps,17,10
20180622,in_window,app_remove,13,13
20180622,pre_window,no_more_extra_steps,4,4
20180622,pre_window,app_update,21,21
20180625,in_window,completed_5_levels,1,1
20180625,pre_window,app_exception,8,7
20180625,pre_window,challenge_a_friend,4,3
20180625,in_window,app_remove,6,6
20180625,pre_window,error,1,1
20180701,in_window,post_score,110,13
20180701,in_window,level_up,50,7
20180701,pre_window,challenge_a_friend,2,2
20180701,pre_window,completed_5_levels,25,24
20180701,in_window,level_end_quickplay,125,13
20180630,pre_window,use_extra_steps,85,29
20180630,in_window,level_up,36,4
20180630,in_window,level_complete,36,4
20180630,in_window,level_retry_quickplay,28,5
20180630,pre_window,dynamic_link_first_open,1,1
20180630,pre_window,in_app_purchase,1,1
20180630,in_window,level_fail_quickplay,92,14
20180629,in_window,level_reset,24,7
20180629,in_window,completed_5_levels,4,4
20180629,in_window,level_reset_quickplay,48,7
20180629,pre_window,level_reset,22,11
20180629,in_window,level_retry_quickplay,32,12
20180629,in_window,spend_virtual_currency,9,7
20180629,pre_window,ad_reward,16,6
20180626,in_window,session_start,33,25
20180626,in_window,level_up,32,6
20180626,in_window,level_complete,32,6
20180626,pre_window,challenge_a_friend,7,4
20180626,in_window,level_start_quickplay,66,18
20180626,pre_window,ad_reward,33,14
20180626,in_window,level_end_quickplay,42,13
20180626,in_window,level_fail_quickplay,24,10
20180626,in_window,select_content,1,1
20180621,pre_window,completed_5_levels,6,6
20180621,in_window,level_fail,102,16
20180621,in_window,level_reset,39,13
20180621,in_window,ad_reward,12,3
20180621,in_window,no_more_extra_steps,19,8
20180621,in_window,app_exception,2,2
20180621,pre_window,spend_virtual_currency,37,14
20180621,pre_window,no_more_extra_steps,13,5
20180621,in_window,error,2,2
20180621,pre_window,firebase_campaign,2,1
20180621,in_window,dynamic_link_app_open,1,1
20180620,pre_window,ad_reward,9,3
20180620,pre_window,level_reset,31,10
20180620,pre_window,no_more_extra_steps,10,4
20180620,in_window,level_fail,67,9
20180620,in_window,level_retry,204,18
20180620,in_window,level_start_quickplay,110,25
20180620,in_window,app_remove,7,7
20180620,pre_window,error,9,5
20180620,in_window,level_end_quickplay,55,19
20180618,in_window,level_retry_quickplay,7,4
20180618,in_window,level_retry,37,7
20180618,in_window,app_remove,2,2
20180618,in_window,level_start,73,10
20180618,in_window,session_start,24,14
20180618,in_window,spend_virtual_currency,7,1
20180618,in_window,level_fail,29,5
20180618,pre_window,app_update,24,24
20180623,pre_window,level_reset,77,17
20180623,in_window,post_score,212,33
20180623,in_window,level_start_quickplay,455,37
20180623,pre_window,completed_5_levels,9,9
20180623,in_window,spend_virtual_currency,46,9
20180623,in_window,no_more_extra_steps,7,3
20180623,in_window,level_up,124,20
20180623,pre_window,no_more_extra_steps,7,6
20180623,in_window,os_update,2,2
20180623,pre_window,firebase_campaign,2,1
20180624,pre_window,level_end,214,42
20180624,pre_window,ad_reward,5,4
20180624,pre_window,level_complete,170,31
20180624,pre_window,challenge_a_friend,1,1
20180624,pre_window,no_more_extra_steps,4,3
20180624,in_window,spend_virtual_currency,104,8
20180624,pre_window,level_up,174,34
20180624,in_window,level_reset,29,10
20180624,pre_window,spend_virtual_currency,21,10
20180624,pre_window,error,12,5
20180624,in_window,level_complete_quickplay,101,15
20180624,in_window,level_end_quickplay,223,23
20180624,pre_window,use_extra_steps,21,10
20180624,in_window,firebase_campaign,48,24
20180628,in_window,level_reset_quickplay,17,5
20180628,in_window,level_up,22,6
20180628,in_window,level_reset,5,2
20180628,in_window,app_exception,1,1
20180628,pre_window,app_clear_data,1,1
20180627,in_window,level_reset_quickplay,9,7
20180627,in_window,completed_5_levels,6,6
20180627,in_window,app_remove,4,4
20180627,pre_window,level_reset,33,13
20180627,in_window,no_more_extra_steps,2,2
20180627,pre_window,ad_reward,8,7
20180627,pre_window,use_extra_steps,28,13
20180619,in_window,level_complete,36,4
20180619,in_window,level_up,36,4
20180619,in_window,post_score,150,6
20180619,in_window,select_content,3,2
20180619,pre_window,app_clear_data,1,1
20180622,pre_window,ad_reward,3,2
20180622,in_window,spend_virtual_currency,57,13
20180622,pre_window,firebase_campaign,2,1
20180625,in_window,level_start_quickplay,153,18
20180625,in_window,level_end_quickplay,112,16
20180625,pre_window,dynamic_link_first_open,1,1
20180701,in_window,level_retry_quickplay,6,4
20180701,in_window,challenge_a_friend,1,1
20180701,in_window,level_fail,42,5
20180701,in_window,completed_5_levels,1,1
20180630,pre_window,no_more_extra_steps,42,25
20180630,in_window,ad_reward,2,1
20180630,in_window,level_fail,20,5
20180630,in_window,level_reset,8,3
20180630,pre_window,spend_virtual_currency,1,1
20180629,pre_window,error,9,6
